V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
20,59,3,3,v,3,v,2,v,5,v,2,X,5,X,2,v,2,v,5,v
20,67,3,3,v,3,v,2,v,4,v,2,X,5,X,2,v,2,v,4,v
20,75,2,2,v,3,v,2,v,4,v,2,v,5,X,2,v,2,v,5,v
20,83,1,3,v,3,v,2,v,5,v,2,v,6,X,2,v,2,v,5,v
20,91,3,3,v,3,v,2,v,5,v,3,X,6,X,2,v,2,v,5,v
20,99,2,3,v,3,v,3,v,6,v,3,X,7,X,3,v,2,v,6,v
20,107,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,6,v
20,115,1,3,v,3,v,3,v,5,v,2,v,7,X,2,v,2,v,6,v
21,4,21,3,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
21,13,21,3,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
21,22,21,2,v,2,v,2,v,2,v,2,v,3,X,1,v,1,v,2,v
21,30,17,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
21,39,10,3,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
21,48,9,3,v,3,v,2,v,5,v,2,X,5,X,2,v,2,v,5,v
21,57,7,3,v,3,v,2,v,5,v,2,X,6,X,2,v,2,v,5,v
21,66,2,3,v,3,v,3,v,4,v,3,X,5,X,2,v,2,v,5,v
21,74,1,3,v,3,v,2,v,5,v,2,v,6,X,2,v,2,v,5,v
21,83,1,3,v,3,v,2,v,5,v,3,v,6,X,2,v,2,v,5,v
21,92,1,2,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
21,101,1,3,v,3,v,3,v,5,v,3,v,6,X,2,v,2,v,5,v
21,110,1,3,v,3,v,3,v,5,v,3,v,7,X,2,v,2,v,6,v
21,119,1,3,v,3,v,3,v,6,v,3,v,7,X,2,v,2,v,7,v
21,127,2,3,v,4,v,3,v,6,v,3,v,7,X,3,v,2,v,7,v
22,4,22,3,v,2,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
22,14,22,3,v,2,v,2,v,2,v,1,v,3,X,1,v,1,v,2,v
22,24,18,3,v,2,v,2,v,3,v,2,X,3,X,2,v,1,v,3,v
22,33,9,2,v,2,v,2,v,3,v,2,X,4,X,2,v,2,v,3,v
22,43,7,3,v,3,v,2,v,4,v,2,X,5,X,2,v,2,v,4,v
22,53,5,3,v,3,v,3,v,4,v,2,X,5,X,2,v,2,v,4,v
